query,gene_hit,%identiy,length,n_mismatch,gapopen,querystart,queryend,subjectstart,subjectend,evalue,bitscore
4f173bbb-968e-49f3-9004-56ccde8eb19b,pac,99.888,895,1,0,11,905,689,1583,0.0,1648
0c81cc81-3324-4a40-8732-565332383901,pac,99.857,700,0,1,4,702,1839,2538,0.0,1286
0c81cc81-3324-4a40-8732-565332383901,symE,100.000,339,0,0,841,1179,1,339,0.0,627
32bb8d48-e794-4a27-9dd4-a9c7de91aa71,pac,96.940,915,14,8,1,903,1221,309,0.0,1522
fdc2873d-6174-40b9-b2be-a2e588fe1c00,pac,100.000,298,0,0,1954,2251,1,298,2.20e-159,551
0469adb3-86e6-4cfe-9a9c-8deed88c5592,symE,98.824,340,2,2,38,376,339,1,3.67e-176,604
efc4e25b-12fa-4759-a181-2f460edc308a,pac,97.793,589,2,3,1,578,2249,1661,0.0,1005
5821c5ee-6e96-49a8-b40c-9123e3a5d0d1,pac,99.313,1165,5,3,435,1597,2538,1375,0.0,2104
5821c5ee-6e96-49a8-b40c-9123e3a5d0d1,symE,100.000,296,0,0,1,296,296,1,2.01e-158,547
d6848419-16e0-425b-954d-21b9cfb0b1da,pac,98.706,618,6,2,1,617,1182,566,0.0,1096
09950408-752f-42bf-be9e-b73721afdf67,pac,98.781,2544,10,14,1499,4027,1,2538,0.0,4506
09950408-752f-42bf-be9e-b73721afdf67,symE,99.371,318,2,0,4167,4484,1,318,7.24e-167,577
dc668585-aa5f-41ea-a980-ca83af828e6d,pac,98.884,2241,10,12,1352,3580,1,2238,0.0,3986
f11152b5-51a8-4adc-b644-87b0e24cfc28,pac,99.170,1808,11,3,425,2231,2538,734,0.0,3253
f11152b5-51a8-4adc-b644-87b0e24cfc28,symE,99.705,339,1,0,7,345,339,1,1.63e-180,621
f2bdbff0-9601-436a-a37d-ae6985a3068b,pac,98.551,1656,10,12,1098,2747,2538,891,0.0,2913
f2bdbff0-9601-436a-a37d-ae6985a3068b,symE,98.824,340,1,2,690,1029,339,3,7.29e-175,603
19afd94d-286c-4d97-bb77-325608316924,pac,96.287,1670,32,16,1,1646,875,2538,0.0,2713
19afd94d-286c-4d97-bb77-325608316924,symE,95.549,337,9,4,1706,2036,3,339,2.66e-154,534
d2b8a250-1e2d-4419-8665-d5603c449b9d,pac,99.036,1037,7,2,13,1046,1037,1,0.0,1857
2a7bc62c-6b02-4bde-89e3-6de4a45ad91a,pac,98.768,1380,10,6,4203,5577,2536,1159,0.0,2447
2a7bc62c-6b02-4bde-89e3-6de4a45ad91a,pac,99.737,1139,3,0,12,1150,1139,1,0.0,2087
2a7bc62c-6b02-4bde-89e3-6de4a45ad91a,symE,97.640,339,7,1,3728,4065,339,1,6.96e-168,580
43f2315c-3837-4ccd-9caa-601971d87009,pac,100.000,555,0,0,1,555,1984,2538,0.0,1026
43f2315c-3837-4ccd-9caa-601971d87009,symE,100.000,339,0,0,695,1033,1,339,0.0,627
1766a77f-6a4a-41d8-a797-cd5ad759da44,symE,100.000,75,0,0,615,689,339,265,6.11e-36,139
b521992e-e9e2-4f84-a8a2-458c120892c3,pac,100.000,215,0,0,1,215,2157,2371,2.73e-114,398
f93000bc-bc8d-4dda-a535-9a5fb87403d7,pac,100.000,612,0,0,13,624,1131,520,0.0,1131
d327f5b0-ae09-4cf7-9d04-a9e565205e10,pac,99.542,1311,5,1,873,2183,1,1310,0.0,2386
7deb41fc-d99e-4b9c-8e65-d31765cfa373,pac,99.169,361,1,2,2,362,879,521,0.0,649
e8e570d0-33b0-4f30-8c0b-7d9e4f020267,pac,97.671,2447,35,17,1,2443,2429,1,0.0,4183
bf6f30f2-31ed-4a06-8771-145f2b05ebb7,pac,99.681,627,1,1,1,626,1445,2071,0.0,1146
4558e475-cd41-4e5c-9fd3-2b13b7e49916,pac,98.729,1810,13,5,3778,5578,1,1809,0.0,3206
4558e475-cd41-4e5c-9fd3-2b13b7e49916,pac,99.581,716,1,2,1,715,1824,2538,0.0,1304
4558e475-cd41-4e5c-9fd3-2b13b7e49916,symE,100.000,339,0,0,854,1192,1,339,0.0,627
d1332462-dc90-4738-b8e3-912530e78152,pac,98.861,527,3,2,852,1376,2538,2013,0.0,937
d1332462-dc90-4738-b8e3-912530e78152,symE,100.000,339,0,0,378,716,339,1,0.0,627
352afbae-bc04-4f02-8e05-1027d7d9dc03,pac,98.034,2441,22,23,1,2436,2420,1,0.0,4218
32689bca-03ff-40b2-a96d-424700a2e645,pac,98.903,547,1,4,1,544,1994,2538,0.0,972
32689bca-03ff-40b2-a96d-424700a2e645,symE,100.000,339,0,0,683,1021,1,339,0.0,627
1efc2260-2f94-4887-b2c0-91f389f16c46,pac,99.792,2403,5,0,3028,5430,1,2403,0.0,4410
1efc2260-2f94-4887-b2c0-91f389f16c46,symE,97.941,340,0,5,112,445,1,339,1.88e-168,582
9b4c6049-b917-4c44-9c12-5e480ebe0cc5,pac,97.149,2245,41,16,3311,5536,1,2241,0.0,3770
9b4c6049-b917-4c44-9c12-5e480ebe0cc5,pac,98.195,277,4,1,1,276,2256,2532,2.00e-138,483
9b4c6049-b917-4c44-9c12-5e480ebe0cc5,symE,95.588,340,6,6,410,741,1,339,1.52e-154,536
9a98dd9d-29dd-4e60-bd0b-d5bbdbc6bf43,pac,95.926,810,14,13,1,797,1005,202,0.0,1295
75d0ed94-2cf1-4e6d-825a-11ba7fa06188,pac,99.316,1169,6,2,13,1180,2256,1089,0.0,2113
6fa3f214-6636-4fb6-b9c2-7c5aff4d94c1,pac,98.755,2489,14,9,537,3009,1,2488,0.0,4409
03786b59-e9c5-4830-a9b2-59bdb75efc43,symE,100.000,339,0,0,179,517,1,339,0.0,627
3c90ed4f-27c2-4393-905a-5fff128abd6a,pac,98.666,2548,13,15,366,2904,2536,1,0.0,4497
